ort,location,lat,lon
Berlin-Charlottenburg,"Berlin-Charlottenburg, Gervinusstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10629, Deutschland",52.5043157,13.302644699999998
Leipzig [u.a.],"A, Pegau, Landkreis Leipzig, Sachsen, Deutschland",51.1535588,12.242772800000001
[Wechselnde Verlagsorte und Verleger],,,
 Wrocław,"Wrocław, powiat trzebnicki, województwo dolnośląskie, Polska",51.126310600000004,16.97819633051261
Halle,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4825041,11.970545199999998
Cambridge,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.2034823,0.1235817
Linz,"Linz, Oberösterreich, Österreich",48.3059078,14.286198
Aachen,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862
"Boston, Mass.","Boston, Suffolk County, Massachusetts, United States",42.3602534,-71.0582912
Regensburg,"Regensburg, Bayern, Deutschland",49.0195333,12.0974869
Anvers [u.a.],"A, Zwaluwenhof, Hoboken, Antwerpen, Vlaanderen, 2660, België / Belgique / Belgien",51.159501899999995,4.350015900000001
Hildesheim [u.a.],"A, Stadtmitte, Stadtmitte/Neustadt, Hildesheim, Landkreis Hildesheim, Niedersachsen, 31134, Deutschland",52.1593454,9.9516295
Abingdon,"Abingdon, Vale of White Horse, Oxfordshire, South East England, England, OX14 3UJ, United Kingdom",51.6714842,-1.2779715
"Richmond, Va.","V, Canadian Service Road, Sea Island, Richmond, Metro Vancouver Regional District, British Columbia, V7B 1Y7, Canada",49.1977086,-123.1912406
"Cambridge, Mass.","Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157
Namur,"Namur, Wallonie, 5000, België / Belgique / Belgien",50.4665284,4.8661892
Stockholm,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Hamburg.,"Hamburg, 20095, Deutschland",53.550341,10.000653999999999
Reichenberg,"Liberec, okres Liberec, Liberecký kraj, Severovýchod, Česko",50.7702648,15.0583947
New York,"New York, United States",40.7127281,-74.0060152
Padova,"Padova, Veneto, Italia",45.4077172,11.8734455
Ulm,"Ulm, Baden-Württemberg, Deutschland",48.397400299999994,9.9934336
Poing b. München,,,
Meißen,"Meißen, Sachsen, Deutschland",51.163087100000006,13.470493900000001
Wandsbek,"Wandsbek, Hamburg, Deutschland",53.5760029,10.075534800000002
[Sanktpeterburg],,,
Wechselnde Verlagsorte @,,,
Bremen,"Bremen, Deutschland",53.0758196,8.8071646
"Marbach, N.","Marbach, Wahlkreis Rheintal, Sankt Gallen, 9437, Schweiz/Suisse/Svizzera/Svizra",47.3919868,9.5686092
"Bad Neustadt, Saale","Bad Neustadt (Saale), Siemensstraße, Neuhaus, Bad Neustadt an der Saale, Landkreis Rhön-Grabfeld, Bayern, 97616, Deutschland",50.328227899999995,10.2261015
Mainz-Marienborn,"Mainz-Marienborn, Achardstraße, Marienborn, Mainz, Rheinland-Pfalz, 55127, Deutschland",49.9604596,8.222892100000001
"Chapel Hill, NC","Chapel Hill, Orange County, North Carolina, United States",35.9131542,-79.05578
Toronto [u.a.],"Petrov, Bohuliby, 1044, Toronto, Luka pod Medníkem, Jílové u Prahy, okres Praha-západ, Střední Čechy, 25401, Česko",49.885543299999995,14.4706546
Bologna,"Bologna, Emilia-Romagna, Italia",44.4937577,11.343030800000001
Poznań,"Poznań, powiat poznański, województwo wielkopolskie, Polska",52.400663200000004,16.919732591780882
Bad Bocklet,"Bad Bocklet, Landkreis Bad Kissingen, Bayern, 97708, Deutschland",50.2675049,10.078704400000001
Zürich [u.a.],"Horgen Bahnhof, Horgen, Bezirk Horgen, Zürich, 8810, Schweiz/Suisse/Svizzera/Svizra",47.2616662,8.5955434
Praha,"Praha, Česko",50.05962879999999,14.446459273258009
Paris [u.a.],"A, Barrio Juntos, Nuevo Paris, Montevideo, 11900, Uruguay",-34.8468967,-56.25241379999999
Wrocław [u.a.],"ROD Aster, Osiedle Sołtysowice, Wrocław, województwo dolnośląskie, Polska",51.14767705,17.084787625947616
México,México,22.5000485,-100.0000375
Bogotá,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
Oxford [u.a.],"A, Cheney Student Village, East Oxford, Oxford, Oxfordshire, South East England, England, United Kingdom",51.7532534,-1.2294293143840749
Bergamo,"Bergamo, Lombardia, Italia",45.7566557,9.754219200862249
Hilversum,"Hilversum, Noord-Holland, Nederland",52.23158695,5.173493602392345
Aberdeen,"Aberdeen City, Scotland, United Kingdom",57.1482429,-2.0928095
"Richmond, Vt.","Richmond, Chittenden County, Vermont, 05477, United States",44.405330600000006,-72.9929017
Venezia [u.a.],"Autostrada Sistiana-Rabuiese (tronco I), Melara, San Giovanni-Chiadino-Rozzol, Longera / Lonjer, Trieste, UTI Giuliana / Julijska MTU, Friuli-Venezia Giulia, 34149, Italia",45.6334265,13.837175
"Princeton, N.J.","Princeton, Mercer County, New Jersey, United States",40.3492744,-74.6592958
Berkeley,"University of California, Berkeley, La Loma Steps, Northside, Berkeley, Alameda County, California, 94708, United States",37.8753497,-122.23963364918778
Los Angeles,"Los Angeles, California, United States",34.0536909,-118.24276599999999
"Ithaca, NY","Ithaca, Ithaca Town, Tompkins County, New York, United States",42.4396039,-76.49680190000001
Rijswijk,"Rijswijk, Zuid-Holland, Nederland",52.03739335,4.322502837527407
"Detroit, Mich.","Detroit, Wayne County, Michigan, United States",42.331550899999996,-83.04664029999999
Firenze [u.a.],"a, Podere Casacce, San Casciano in Val di Pesa, Firenze, Toscana, Italia",43.601928,11.250043400000001
Foligno,"Foligno, Perugia, Umbria, 06034, Italia",42.956182500000004,12.703334
Bratislava,"Bratislava, Bratislavský kraj, Slovensko",48.1516988,17.1093063
Helsingfors,"Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, Suomi / Finland",60.16748810000001,24.9427473
Torino,"Torino, Piemonte, Italia",45.06775510000001,7.682489200000001
"Mountrath, Portlaoise","Mountrath R.C Parish, The Municipal District of Portlaoise, County Laois, Leinster, Éire / Ireland",52.99426305,-7.434440393109857
Weimar,"Weimar, Thüringen, Deutschland",50.9810486,11.3296637
Ostfildern,"Ostfildern, Landkreis Esslingen, Baden-Württemberg, 73760, Deutschland",48.71786029999999,9.263069300000002
Frankfurt-Höchst,"Frankfurt-Höchst, Adelonstraße, Höchst, West, Frankfurt am Main, Hessen, 65929, Deutschland",50.1027438,8.5420871
Augsburg,"Augsburg, Bayern, Deutschland",48.3668041,10.8986971
"Olten, Schweiz","Olten, Bezirk Olten, Amtei Olten-Gösgen, Solothurn, Schweiz/Suisse/Svizzera/Svizra",47.3496571,7.9037869999999995
"Freiburg, Br.","Freiburg im Breisgau, Baden-Württemberg, Deutschland",47.9960901,7.849400500000001
Heilbronn,"Heilbronn, Baden-Württemberg, Deutschland",49.142291,9.218655
Breslau,"Wrocław, powiat trzebnicki, województwo dolnośląskie, Polska",51.126310600000004,16.97819633051261
"Halle, Saale","Saale, Klaustorvorstadt, Südliche Innenstadt, Halle (Saale), Sachsen-Anhalt, 06108, Deutschland",51.4800473,11.960179608139686
Olten,"Olten, Bezirk Olten, Amtei Olten-Gösgen, Solothurn, Schweiz/Suisse/Svizzera/Svizra",47.3496571,7.9037869999999995
Dessau,"Dessau, Sachsen-Anhalt, 06844, Deutschland",51.83468010000001,12.2468705
Mainz,"Mainz, Rheinland-Pfalz, Deutschland",50.0012314,8.276251299999998
Jena,"Jena, Thüringen, Deutschland",50.9281717,11.5879359
Wolfenbüttel,"Wolfenbüttel, Landkreis Wolfenbüttel, Niedersachsen, Deutschland",52.1625283,10.5348215
Tübingen,"Tübingen, Landkreis Tübingen, Baden-Württemberg, Deutschland",48.5236164,9.0535531
Ingolstadt,"Ingolstadt, Bayern, Deutschland",48.7630165,11.4250395
Düsseldorf,"Düsseldorf, Nordrhein-Westfalen, Deutschland",51.2254018,6.7763137
"Halle, S.","Herfelingen, Herne, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, S, België / Belgique / Belgien",50.748249848290214,4.096030133476081
"Frankfurt, M. [u.a.]","Zeilsheim Bahnhof, Sindlingen, West, Frankfurt am Main, Hessen, 65931, Deutschland",50.0903169,8.5071194
Göttingen,"Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5328328,9.9351811
Berlin-Steglitz,"Steglitz, Steglitz-Zehlendorf, Berlin, Deutschland",52.457256900000004,13.322286499999999
Offenbach,"Offenbach am Main, Hessen, Deutschland",50.1055002,8.7610698
Mannheim,"Mannheim, Baden-Württemberg, Deutschland",49.48929129999999,8.4673098
Stäfa,"Staffa, Argyll and Bute, Scotland, United Kingdom",56.435756100000006,-6.3423464718975655
"Hagen, W.","Hagen, Nordrhein-Westfalen, Deutschland",51.3582945,7.473296
Cöln,"SMS Cöln, Gyre Road, Orphir, Orkney Islands, Scotland, KW17 2RB, United Kingdom",58.898052,-3.145833
Frederikshavn,"Frederikshavn, Frederikshavn Kommune, Region Nordjylland, 9900, Danmark",57.441213399999995,10.5336225
Nijmegen,"Nijmegen, Gelderland, Nederland",51.84257485000001,5.838960628748229
[Wechselnde Erscheinungsorte],,,
"Appleton, Wis.","Appleton, Outagamie County, Wisconsin, United States",44.26113370000001,-88.40676040000001
Bergisch-Gladbach,"Bergisch Gladbach, Rheinisch-Bergischer Kreis, Nordrhein-Westfalen, Deutschland",50.9929303,7.1277379000000005
Hamburg [u.a.],"Hamburg, 20095, Deutschland",53.550341,10.000653999999999
Dordrecht,"Dordrecht, Zuid-Holland, Nederland",51.795881200000004,4.677935099999999
Osnabrück,"Osnabrück, Niedersachsen, Deutschland",52.271959499999994,8.047635000000001
Canberra,"Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",-35.2975906,149.1012676
Boston,"Boston, Suffolk County, Massachusetts, United States",42.3602534,-71.0582912
Charlottenburg,"Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, Deutschland",52.515747,13.3096834
Leiden,"Leiden, Zoeterwoude, Zuid-Holland, Nederland",52.1518157,4.4811088666204295
Martin,"Martin County, Texas, United States",32.2675039,-101.9190317
Sofija,"София, Столична, София-град, Бългaрия",42.697863399999996,23.322178899999997
Milano,"Milano, Lombardia, Italia",45.4668,9.1905
Vancouver,"Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.11395290000002
Melbourne [u.a.],"A, Melbourne Airport, Melbourne, City of Hume, Victoria, 3045, Australia",-37.6749419,144.85408404999995
Città del Vaticano,"Città del Vaticano, 00120, Città del Vaticano",41.90381485,12.453152716779824
Abano Terme,"Abano Terme, Padova, Veneto, 35031, Italia",45.360314200000005,11.789783300000002
Aubel,"Aubel, Verviers, Liège, Wallonie, 4880, België / Belgique / Belgien",50.704149799999996,5.8585553
"Bloomfield Hill, Mich.","Bloomfield, Birmingham, Oakland County, Michigan, 48009, United States",42.5378124,-83.23298630000001
Lipsiae,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329
"Cincinnati, Ohio [u.a.]","A, Lunken Loop, Linwood, Cincinnati, Hamilton County, Ohio, 45226-1834, United States",39.10843679999999,-84.4163582
"Ann Arbor, Mich.","Ann Arbor, Washtenaw County, Michigan, United States",42.268156899999994,-83.7312291
's-Gravenhage,"Den Haag, Zuid-Holland, Nederland",52.0799838,4.3113461
Graz,"Graz, Steiermark, Österreich",47.070867799999995,15.438278599999999
Zutphen,"Zutphen, Gelderland, Nederland",52.143221999999994,6.2044441
v Bratislave,"Vysoká škola múzických umení v Bratislave, Ventúrska, Vnútorné mesto, Historické jadro, Bratislava, okres Bratislava I, Bratislava, Bratislavský kraj, 811 01, Slovensko",48.1425382,17.10630470328825
Zwickau,"Zwickau, Langenweißbach, Zwickau, Sachsen, 08134, Deutschland",50.71850429999999,12.4939267
"Faversham, Kent","Faversham, Swale, Kent, South East England, England, ME13 8NU, United Kingdom",51.314408799999995,0.8911894
Toronto,"Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.38393470000001
Carlsruhe,"Karlsruhe, Baden-Württemberg, 76137, Deutschland",49.010600200000006,8.404074900000001
Halle [u.a.],"Halle utca, Jutasi úti lakótelep, Veszprém, Veszprémi járás, Veszprém megye, Közép-Dunántúl, Dunántúl, 8200, Magyarország",47.1058672,17.915631899999998
Antwerpen,"Antwerpen, Vlaanderen, België / Belgique / Belgien",51.2211097,4.3997081
Quedlinburg,"Quedlinburg, Landkreis Harz, Sachsen-Anhalt, Deutschland",51.785542799999995,11.1519933
30 cm,"30, Carretera Jaén, Vereda, Albacete, Castilla-La Mancha, 02006, España",38.992209100000004,-1.8758147
"Frankfurt, Main","Main, Altstadt, Innenstadt 1, Frankfurt am Main, Hessen, 60311, Deutschland",50.10591700000001,8.675765921166828
Buenos Aires,"Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075682,-58.4370894
Erlangen [u.a.],"A, Allee am Röthelheimpark, Röthelheimpark, Erlangen, Bayern, 91052, Deutschland",49.5919741,11.02368887379852
Berlin [u.a.],"Strada Berlin, Belvedere, Târgu Mureș, Zona Metropolitană Târgu Mureș, Mureș, 540347, România",46.526270700000005,24.5742006
Lugduni Batavorum,"Leiden, Zoeterwoude, Zuid-Holland, Nederland",52.1518157,4.4811088666204295
Harmondsworth [u.a.],"A, M4, West Drayton, London Borough of Hillingdon, London, Greater London, England, UB7 0JU, United Kingdom",51.4956851,-0.4552151
Wrocław,"Wrocław, powiat trzebnicki, województwo dolnośląskie, Polska",51.126310600000004,16.97819633051261
Bucureşti,"Municipiul București, România",44.4361414,26.1027202
Neuss,"Neuss, Rhein-Kreis Neuss, Nordrhein-Westfalen, Deutschland",51.198177799999996,6.6916476
Dachau,"Dachau, Landkreis Dachau, Bayern, 85221, Deutschland",48.2592477,11.4354419
Lisboa,"Lisboa, Portugal",38.707750700000005,-9.1365919
Madrid,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.416704700000004,-3.7035824999999996
Göteborg,"Göteborg, Göteborgs Stad, Västra Götalands län, 41106, Sverige",57.7072326,11.9670171
Bernburg,"Bernburg, Salzlandkreis, Sachsen-Anhalt, 06406, Deutschland",51.793078799999996,11.7391606
Brno,"Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382
Udine,"Udine, UTI del Friuli Centrale, Friuli-Venezia Giulia, 33100, Italia",46.0634632,13.235837699999998
Békéscsaba,"Békéscsaba, Békéscsabai járás, Békés megye, Dél-Alföld, Alföld és Észak, Magyarország",46.6798003,21.098542499999997
Békéscaba,,,
Zwolle,"Zwolle, Overijssel, Nederland",52.508975899999996,6.0943765
"Syracuse, NY","Syracuse, Onondaga County, New York, United States",43.0481221,-76.1474244
Marburg [u.a.],"Marburg, Landkreis Marburg-Biedenkopf, Hessen, Deutschland",50.81173270000001,8.775774199999999
"Berkeley, Calif.","University of California, Berkeley, La Loma Steps, Northside, Berkeley, Alameda County, California, 94708, United States",37.8753497,-122.23963364918778
Belgrade,"Београд, Градска општина Стари град, Град Београд, Централна Србија, 11000, Србија",44.8178131,20.4568974
Pamplona,"Pamplona/Iruña, Navarra - Nafarroa, España",42.81845379999999,-1.6442556000000002
Rio de Janeiro,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.911013699999998,-43.2093727
Leixlip,"Leixlip, Leixlip ED, The Municipal District of Celbridge — Leixlip, County Kildare, Leinster, Éire / Ireland",53.3644766,-6.489743799999999
Leuven,"Leuven, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",50.879202,4.7011675
Brussel,"Bruxelles / Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien",50.8436709,4.3674366933879565
"Port Washington, NY","Port Washington, Port Washington Park, North Hempstead, Nassau County, New York, United States",40.8254914,-73.68128200830327
"Long Island, NY","Long Island, New York, United States",40.85149705,-73.0994258107431
York,"York, Yorkshire and the Humber, England, YO1 8SG, United Kingdom",53.959055500000005,-1.0815361000000001
Viterbo,"Viterbo, Lazio, Italia",42.49368885,11.945067829807687
"Norman, Okla.","Norman, Cleveland County, Oklahoma, United States",35.2225717,-97.4394816
Krefeld,"Krefeld, Nordrhein-Westfalen, Deutschland",51.3331205,6.562334299999999
Eggersdorf,"Eszteregnye, Nagykanizsai járás, Zala megye, Nyugat-Dunántúl, Dunántúl, 8882, Magyarország",46.4702998,16.884219100000003
Caracas,"Caracas, Parroquia Catedral, Municipio Libertador, Distrito Capital, Venezuela",10.506098,-66.9146017
Sydney,"Sydney, New South Wales, Australia",-33.8548157,151.2164539
Roma,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321
Genève,"Genève, Grand Genève, Genève, Schweiz/Suisse/Svizzera/Svizra",46.2017559,6.146601400000001
Helsinki,"Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, Suomi / Finland",60.16748810000001,24.9427473
[Frederikshavn],,,
Luanda,"Luanda, Município de Luanda, Luanda, Angola",-8.827269900000001,13.243951199999998
Alphen aan den Rijn,"Alphen aan den Rijn, Zuid-Holland, Nederland",52.1131403,4.6408411999450685
Malbork,"Malbork, powiat malborski, województwo pomorskie, 82-200, Polska",54.02873829999999,19.039396385383558
Cetinje,"Cetinje, Prijestolnica Cetinje, Crna Gora / Црна Гора",42.389633,18.924608499999998
Dublin,"Dublin, Dublin 1, Leinster, Éire / Ireland",53.3497645,-6.2602732
Hildburghausen [u.a.],"Hildburghausen, Landkreis Hildburghausen, Thüringen, Deutschland",50.426678499999994,10.7296992
[S.l.] @,"S & L, Lyonal Drive, Eaton Park, Polk County, Florida, 33803, United States",28.0105702,-81.90803759937343
Straßburg,"Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France",48.584614,7.750712700000001
De Bilt,"De Bilt, Utrecht, Nederland",52.1445592,5.173777333788463
[Turnhout],,,
München [u.a.],"A, Olympisches Dorf, Milbertshofen-Am Hart, München, Bayern, 80809, Deutschland",48.1791699,11.5541431
Lipsk,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329
[Wechselnde Verlagsorte],,,
Mons,"Mons, Hainaut, Wallonie, België / Belgique / Belgien",50.4549568,3.9519580000000003
Rzeszów,"Rzeszów, powiat rzeszowski, województwo podkarpackie, Polska",50.013064,22.016143457294312
Neusäß,"Neusäß, Landkreis Augsburg, Bayern, 86356, Deutschland",48.3928722,10.8354535
Louvain-la-Neuve,"Louvain-la-Neuve, Ottignies-Louvain-la-Neuve, Nivelles, Brabant wallon, Wallonie, 1348, België / Belgique / Belgien",50.6741689,4.613790587187649
Bonn,"Bonn, Nordrhein-Westfalen, Deutschland",50.735851000000004,7.10066
Chemnitz,"Chemnitz, Sachsen, Deutschland",50.83226079999999,12.9252977
Leonding,"Leonding, Bezirk Linz-Land, Oberösterreich, 4060, Österreich",48.279331400000004,14.248745699999999
"Urbana, Ill.",,,
Gera,"Gera, Thüringen, Deutschland",50.877230100000006,12.0796208
Verl,"Verl, Kreis Gütersloh, Nordrhein-Westfalen, 33415, Deutschland",51.8830037,8.5093149
[s.l.],"S & L, Lyonal Drive, Eaton Park, Polk County, Florida, 33803, United States",28.0105702,-81.90803759937343
Halle (Saale),"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4825041,11.970545199999998
Essen,"Essen, Nordrhein-Westfalen, Deutschland",51.458223499999995,7.0158171000000005
Rudolstadt,"Rudolstadt, Kamsdorf, Landkreis Saalfeld-Rudolstadt, Thüringen, 07407, Deutschland",50.7206063,11.3401985
Gießen,"Gießen, Landkreis Gießen, Hessen, Deutschland",50.5862066,8.6742306
Genova,"Genova, Liguria, Italia",44.40726,8.9338624
Krems,"Krems an der Donau, Niederösterreich, Österreich",48.4108382,15.6003717
"New Haven, Conn.","New Haven, New Haven County, Connecticut, United States",41.29843435,-72.93102342707913
Humphrey Milford,,,
Grenoble [u.a.],"A, Innovallée Montbonnot, Montbonnot-Saint-Martin, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38330, France",45.2142361,5.8056902
"Siegburg, Rhld.","Bornheim (Rhld), A 555, Hersel, Bornheim, Rhein-Sieg-Kreis, Nordrhein-Westfalen, 53332, Deutschland",50.7638566,7.0314271999999995
"Hattiesburg, Miss.","Hattiesburg, Forrest County, Mississippi, United States",31.327118900000002,-89.2903392
Mexico,México,22.5000485,-100.0000375
Lausanne,"Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra",46.5218269,6.6327025
Cambridge [u.a.],"Cambridge U, Southwest 128th Terrace, Pembroke Pines, Broward County, Florida, 33026-4102, United States",25.99857135,-80.3192672649498
Lund,"Lund, Lunds kommun, Skåne län, Sverige",55.7029296,13.192944899999999
Košice,"Košice, Košický kraj, Východné Slovensko, Slovensko",48.7172272,21.249677399999996
[Paris],,,
Leinfelden-Echterdingen,"Leinfelden-Echterdingen, Landkreis Esslingen, Baden-Württemberg, Deutschland",48.6901796,9.1525725
Zagrev,"Zagrev, Santa Cruz, Riobamba, Chimborazo, 060111, Ecuador",-1.6819848000000002,-78.64194559999999
ברלין מינכן,,,
Potsdam,"Potsdam, Brandenburg, Deutschland",52.4009309,13.0591397
Eisenach,"Eisenach, Wutha-Farnroda, Thüringen, 99848, Deutschland",50.9747134,10.3193565
[Saint-Léger-Vauban],"Saint-Léger-Vauban, Avallon, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89630, France",47.3857699,4.0476536
Antwerpen [u.a.],"A, Zwaluwenhof, Hoboken, Antwerpen, Vlaanderen, 2660, België / Belgique / Belgien",51.159501899999995,4.350015900000001
Königsfeld,"Anenská Studánka, okres Ústí nad Orlicí, Pardubický kraj, Severovýchod, Česko",49.8492593,16.539909599999998
